,sentence,sentence_opposite,DP,DP_opposite,D,D_opposite,A,A_opposite,N,N_opposite,ADV,ADV_opposite,V,V_opposite,other_args,other_args_opposite,label,pairID,slen
4282,That exposed lawyer always examines the reports nowadays.,Those exposed lawyers always examine the reports nowadays.,That lawyer,Those lawyers,That,Those,exposed,exposed,lawyer,lawyers,always,always,examines,examine,"['the', 'reports']","['the', 'reports']",0,4282,8
4283,These young patients barely forgive the university nowadays.,This young patient barely forgives the university nowadays.,These patients,This patient,These,This,young,young,patients,patient,barely,barely,forgive,forgives,"['the', 'university']","['the', 'university']",1,4283,8
4285,This troubled handyman hardly passes the hills nowadays.,These troubled handymen hardly pass the hills nowadays.,This handyman,These handymen,This,These,troubled,troubled,handyman,handymen,hardly,hardly,passes,pass,"['the', 'hills']","['the', 'hills']",0,4285,8
4286,That fake adult ever meets the waitresses nowadays.,Those fake adults ever meet the waitresses nowadays.,That adult,Those adults,That,Those,fake,fake,adult,adults,ever,ever,meets,meet,"['the', 'waitresses']","['the', 'waitresses']",0,4286,8
4287,That strange legislature sometimes astounds the girl nowadays.,Those strange legislatures sometimes astound the girl nowadays.,That legislature,Those legislatures,That,Those,strange,strange,legislature,legislatures,sometimes,sometimes,astounds,astound,"['the', 'girl']","['the', 'girl']",0,4287,8
4288,That old doctor scarcely grows the eggplant nowadays.,Those old doctors scarcely grow the eggplant nowadays.,That doctor,Those doctors,That,Those,old,old,doctor,doctors,scarcely,scarcely,grows,grow,"['the', 'eggplant']","['the', 'eggplant']",0,4288,8
4290,This organized actress sometimes sinks the boats nowadays.,These organized actresses sometimes sink the boats nowadays.,This actress,These actresses,This,These,organized,organized,actress,actresses,sometimes,sometimes,sinks,sink,"['the', 'boats']","['the', 'boats']",0,4290,8
4291,Those important cups ever worry the ladies nowadays.,That important cup ever worries the ladies nowadays.,Those cups,That cup,Those,That,important,important,cups,cup,ever,ever,worry,worries,"['the', 'ladies']","['the', 'ladies']",1,4291,8
4294,These confident senators seldom shoot the oncologist nowadays.,This confident senator seldom shoots the oncologist nowadays.,These senators,This senator,These,This,confident,confident,senators,senator,seldom,seldom,shoot,shoots,"['the', 'oncologist']","['the', 'oncologist']",1,4294,8
4295,Those giant guests seldom approach the customers nowadays.,That giant guest seldom approaches the customers nowadays.,Those guests,That guest,Those,That,giant,giant,guests,guest,seldom,seldom,approach,approaches,"['the', 'customers']","['the', 'customers']",1,4295,8
4296,That authentic organization scarcely buys the unicycle nowadays.,Those authentic organizations scarcely buy the unicycle nowadays.,That organization,Those organizations,That,Those,authentic,authentic,organization,organizations,scarcely,scarcely,buys,buy,"['the', 'unicycle']","['the', 'unicycle']",0,4296,8
4297,This big doctor always questions the drivers nowadays.,These big doctors always question the drivers nowadays.,This doctor,These doctors,This,These,big,big,doctor,doctors,always,always,questions,question,"['the', 'drivers']","['the', 'drivers']",0,4297,8
4298,These ugly waitresses rarely examine the commentaries nowadays.,This ugly waitress rarely examines the commentaries nowadays.,These waitresses,This waitress,These,This,ugly,ugly,waitresses,waitress,rarely,rarely,examine,examines,"['the', 'commentaries']","['the', 'commentaries']",1,4298,8
4299,These bad adults often bite the pedestrian nowadays.,This bad adult often bites the pedestrian nowadays.,These adults,This adult,These,This,bad,bad,adults,adult,often,often,bite,bites,"['the', 'pedestrian']","['the', 'pedestrian']",1,4299,8
4300,This clever cashier often overwhelms the actress nowadays.,These clever cashiers often overwhelm the actress nowadays.,This cashier,These cashiers,This,These,clever,clever,cashier,cashiers,often,often,overwhelms,overwhelm,"['the', 'actress']","['the', 'actress']",0,4300,8
4302,That slim oncologist sometimes teaches the teacher nowadays.,Those slim oncologists sometimes teach the teacher nowadays.,That oncologist,Those oncologists,That,Those,slim,slim,oncologist,oncologists,sometimes,sometimes,teaches,teach,"['the', 'teacher']","['the', 'teacher']",0,4302,8
4303,These upset customers seldom get the boats nowadays.,This upset customer seldom gets the boats nowadays.,These customers,This customer,These,This,upset,upset,customers,customer,seldom,seldom,get,gets,"['the', 'boats']","['the', 'boats']",1,4303,8
4304,Those smart oncologists hardly irritate the partner nowadays.,That smart oncologist hardly irritates the partner nowadays.,Those oncologists,That oncologist,Those,That,smart,smart,oncologists,oncologist,hardly,hardly,irritate,irritates,"['the', 'partner']","['the', 'partner']",1,4304,8
4307,Those terrible teachers hardly visit the oncologist nowadays.,That terrible teacher hardly visits the oncologist nowadays.,Those teachers,That teacher,Those,That,terrible,terrible,teachers,teacher,hardly,hardly,visit,visits,"['the', 'oncologist']","['the', 'oncologist']",1,4307,8
4308,This clever girl barely astounds the driver nowadays.,These clever girls barely astound the driver nowadays.,This girl,These girls,This,These,clever,clever,girl,girls,barely,barely,astounds,astound,"['the', 'driver']","['the', 'driver']",0,4308,8
4309,Those fake legislatures sometimes know the senators nowadays.,That fake legislature sometimes knows the senators nowadays.,Those legislatures,That legislature,Those,That,fake,fake,legislatures,legislature,sometimes,sometimes,know,knows,"['the', 'senators']","['the', 'senators']",1,4309,8
4310,This ill podiatrist hardly repairs the convertible nowadays.,These ill podiatrists hardly repair the convertible nowadays.,This podiatrist,These podiatrists,This,These,ill,ill,podiatrist,podiatrists,hardly,hardly,repairs,repair,"['the', 'convertible']","['the', 'convertible']",0,4310,8
4313,Those normal gloves ever distract the companies nowadays.,That normal glove ever distracts the companies nowadays.,Those gloves,That glove,Those,That,normal,normal,gloves,glove,ever,ever,distract,distracts,"['the', 'companies']","['the', 'companies']",1,4313,8
4314,This good doctor sometimes praises the adults nowadays.,These good doctors sometimes praise the adults nowadays.,This doctor,These doctors,This,These,good,good,doctor,doctors,sometimes,sometimes,praises,praise,"['the', 'adults']","['the', 'adults']",0,4314,8
4315,This upset lawyer rarely researches the bank nowadays.,These upset lawyers rarely research the bank nowadays.,This lawyer,These lawyers,This,These,upset,upset,lawyer,lawyers,rarely,rarely,researches,research,"['the', 'bank']","['the', 'bank']",0,4315,8
4317,Those interesting students seldom admire the wheelbarrow nowadays.,That interesting student seldom admires the wheelbarrow nowadays.,Those students,That student,Those,That,interesting,interesting,students,student,seldom,seldom,admire,admires,"['the', 'wheelbarrow']","['the', 'wheelbarrow']",1,4317,8
4319,Those terrible senators sometimes hug the contractor nowadays.,That terrible senator sometimes hugs the contractor nowadays.,Those senators,That senator,Those,That,terrible,terrible,senators,senator,sometimes,sometimes,hug,hugs,"['the', 'contractor']","['the', 'contractor']",1,4319,8
4320,That strange cup sometimes impresses the student nowadays.,Those strange cups sometimes impress the student nowadays.,That cup,Those cups,That,Those,strange,strange,cup,cups,sometimes,sometimes,impresses,impress,"['the', 'student']","['the', 'student']",0,4320,8
4321,That beautiful podiatrist seldom bothers the plumbers nowadays.,Those beautiful podiatrists seldom bother the plumbers nowadays.,That podiatrist,Those podiatrists,That,Those,beautiful,beautiful,podiatrist,podiatrists,seldom,seldom,bothers,bother,"['the', 'plumbers']","['the', 'plumbers']",0,4321,8
4322,This smart doctor always tours the mall nowadays.,These smart doctors always tour the mall nowadays.,This doctor,These doctors,This,These,smart,smart,doctor,doctors,always,always,tours,tour,"['the', 'mall']","['the', 'mall']",0,4322,8
4323,Those delighted guys often bite the mushroom nowadays.,That delighted guy often bites the mushroom nowadays.,Those guys,That guy,Those,That,delighted,delighted,guys,guy,often,often,bite,bites,"['the', 'mushroom']","['the', 'mushroom']",1,4323,8
4324,That nice dancer hardly describes the girls nowadays.,Those nice dancers hardly describe the girls nowadays.,That dancer,Those dancers,That,Those,nice,nice,dancer,dancers,hardly,hardly,describes,describe,"['the', 'girls']","['the', 'girls']",0,4324,8
4325,These lengthy documentaries barely worry the students nowadays.,This lengthy documentary barely worries the students nowadays.,These documentaries,This documentary,These,This,lengthy,lengthy,documentaries,documentary,barely,barely,worry,worries,"['the', 'students']","['the', 'students']",1,4325,8
4327,This gray hill rarely resembles the paintings nowadays.,These gray hills rarely resemble the paintings nowadays.,This hill,These hills,This,These,gray,gray,hill,hills,rarely,rarely,resembles,resemble,"['the', 'paintings']","['the', 'paintings']",0,4327,8
4328,That lucky teenager rarely describes the plays nowadays.,Those lucky teenagers rarely describe the plays nowadays.,That teenager,Those teenagers,That,Those,lucky,lucky,teenager,teenagers,rarely,rarely,describes,describe,"['the', 'plays']","['the', 'plays']",0,4328,8
4330,That careless company seldom discusses the driver nowadays.,Those careless companies seldom discuss the driver nowadays.,That company,Those companies,That,Those,careless,careless,company,companies,seldom,seldom,discusses,discuss,"['the', 'driver']","['the', 'driver']",0,4330,8
4331,This dry waitress often investigates the hospitals nowadays.,These dry waitresses often investigate the hospitals nowadays.,This waitress,These waitresses,This,These,dry,dry,waitress,waitresses,often,often,investigates,investigate,"['the', 'hospitals']","['the', 'hospitals']",0,4331,8
4333,These unconvinced tutors seldom forgive the doctors nowadays.,This unconvinced tutor seldom forgives the doctors nowadays.,These tutors,This tutor,These,This,unconvinced,unconvinced,tutors,tutor,seldom,seldom,forgive,forgives,"['the', 'doctors']","['the', 'doctors']",1,4333,8
4334,This terrible committee scarcely overwhelms the association nowadays.,These terrible committees scarcely overwhelm the association nowadays.,This committee,These committees,This,These,terrible,terrible,committee,committees,scarcely,scarcely,overwhelms,overwhelm,"['the', 'association']","['the', 'association']",0,4334,8
4335,That clever pedestrian always makes the vases nowadays.,Those clever pedestrians always make the vases nowadays.,That pedestrian,Those pedestrians,That,Those,clever,clever,pedestrian,pedestrians,always,always,makes,make,"['the', 'vases']","['the', 'vases']",0,4335,8
4336,This slim adult hardly holds the teenagers nowadays.,These slim adults hardly hold the teenagers nowadays.,This adult,These adults,This,These,slim,slim,adult,adults,hardly,hardly,holds,hold,"['the', 'teenagers']","['the', 'teenagers']",0,4336,8
4337,That wet teacher seldom leaves the rivers nowadays.,Those wet teachers seldom leave the rivers nowadays.,That teacher,Those teachers,That,Those,wet,wet,teacher,teachers,seldom,seldom,leaves,leave,"['the', 'rivers']","['the', 'rivers']",0,4337,8
4338,This unsure podiatrist sometimes makes the bikes nowadays.,These unsure podiatrists sometimes make the bikes nowadays.,This podiatrist,These podiatrists,This,These,unsure,unsure,podiatrist,podiatrists,sometimes,sometimes,makes,make,"['the', 'bikes']","['the', 'bikes']",0,4338,8
4339,That unconvinced tutor ever alarms the customer nowadays.,Those unconvinced tutors ever alarm the customer nowadays.,That tutor,Those tutors,That,Those,unconvinced,unconvinced,tutor,tutors,ever,ever,alarms,alarm,"['the', 'customer']","['the', 'customer']",0,4339,8
4340,That serious dentist always kisses the actors nowadays.,Those serious dentists always kiss the actors nowadays.,That dentist,Those dentists,That,Those,serious,serious,dentist,dentists,always,always,kisses,kiss,"['the', 'actors']","['the', 'actors']",0,4340,8
